NIVEL,PUNTUAL,FALTA,CONTENIDOS,CALIFICACION,campus
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,2,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,3,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,2,NO,3,5,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,2,8,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,4,NO,3,3,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,3,8,Coatzacoalcos
Secundaria Anual,5,NO,4,8,Coatzacoalcos
Secundaria Anual,4,NO,3,8,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,2,SI,4,7,Boca del Río
Secundaria Anual,5,NO,5,8,Boca del Río
Secundaria Anual,4,NO,4,9,Boca del Río
Secundaria Anual,5,SI,4,8,Boca del Río
Secundaria Anual,4,SI,4,9,Boca del Río
Secundaria Anual,5,SI,4,7,Boca del Río
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,4,SI,3,5,Boca del Río
Secundaria Anual,4,SI,3,7,Boca del Río
Secundaria Anual,4,SI,4,6,Boca del Río
Secundaria Anual,4,NO,4,9,Boca del Río
Secundaria Anual,5,NO,3,9,Boca del Río
Secundaria Anual,5,NO,4,9,Boca del Río
Secundaria Anual,5,NO,3,3,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,4,NO,2,8,Boca del Río
Secundaria Anual,4,NO,4,8,Boca del Río
Secundaria Anual,4,SI,5,8,Boca del Río
Secundaria Anual,5,SI,4,10,Boca del Río
Secundaria Anual,5,NO,3,9,Boca del Río
Secundaria Anual,4,NO,5,9,Boca del Río
Secundaria Anual,5,SI,5,7,Boca del Río
Secundaria Anual,4,NO,5,9,Boca del Río
Secundaria Anual,5,NO,4,7,Boca del Río
Secundaria Anual,4,SI,2,4,Boca del Río
Secundaria Anual,4,NO,5,8,Boca del Río
Secundaria Anual,4,SI,3,7,Boca del Río
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,SI,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,7,Coatzacoalcos
Secundaria Anual,5,NO,4,10,Boca del Río
Secundaria Anual,5,NO,4,10,Coatzacoalcos
Secundaria Anual,5,NO,3,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,4,NO,4,9,Boca del Río
Secundaria Anual,5,SI,5,5,Boca del Río
Secundaria Anual,4,NO,5,9,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,4,NO,5,10,Boca del Río
Secundaria Anual,4,NO,4,9,Boca del Río
Secundaria Anual,4,NO,2,7,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,5,8,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,5,NO,4,9,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,4,7,Boca del Río
Secundaria Anual,3,NO,1,3,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,5,8,Boca del Río
Secundaria Anual,3,SI,1,1,Boca del Río
Secundaria Anual,4,NO,5,8,Boca del Río
Secundaria Anual,4,NO,3,6,Boca del Río
Secundaria Anual,3,NO,3,7,Boca del Río
Secundaria Anual,4,NO,3,6,Boca del Río
Secundaria Anual,4,NO,4,8,Boca del Río
Secundaria Anual,5,NO,3,6,Boca del Río
Secundaria Anual,4,NO,1,7,Boca del Río
Secundaria Anual,4,NO,4,8,Boca del Río
Secundaria Anual,5,NO,4,7,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,4,NO,5,8,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,4,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,7,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,4,9,Boca del Río
Bachillerato Semestral ,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,3,NO,5,10,Boca del Río
Secundaria Anual,4,NO,5,9,Boca del Río
Secundaria Anual,4,SI,4,7,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,4,NO,4,7,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,4,NO,5,9,Boca del Río
Secundaria Anual,5,NO,3,9,Boca del Río
Secundaria Anual,4,SI,5,9,Boca del Río
Secundaria Anual,4,SI,5,8,Boca del Río
Secundaria Anual,5,NO,4,7,Boca del Río
Secundaria Anual,4,SI,4,9,Boca del Río
Secundaria Anual,4,NO,5,10,Boca del Río
Secundaria Anual,4,NO,4,9,Boca del Río
Secundaria Anual,5,SI,5,9,Boca del Río
Secundaria Anual,4,SI,4,8,Boca del Río
Secundaria Anual,4,SI,5,9,Boca del Río
Secundaria Anual,4,SI,5,9,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,4,NO,1,3,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,4,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,3,SI,4,8,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,4,NO,5,10,Boca del Río
Secundaria Anual,4,SI,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,3,8,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,4,6,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,4,7,Boca del Río
Secundaria Anual,5,NO,2,8,Boca del Río
Secundaria Anual,5,NO,4,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,8,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,3,NO,5,9,Boca del Río
Secundaria Anual,4,NO,4,9,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,4,9,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,8,Boca del Río
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,3,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,4,NO,2,6,Coatzacoalcos
Secundaria Anual,5,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,4,NO,4,6,Coatzacoalcos
Secundaria Anual,4,NO,1,5,Coatzacoalcos
Secundaria Anual,5,NO,1,4,Coatzacoalcos
Secundaria Anual,5,NO,4,7,Coatzacoalcos
Secundaria Anual,4,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,1,1,Coatzacoalcos
Secundaria Anual,2,NO,1,5,Coatzacoalcos
Secundaria Anual,4,NO,4,3,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,4,NO,4,7,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,3,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,3,8,Coatzacoalcos
Bachillerato Semestral ,3,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,1,NO,2,2,Coatzacoalcos
Bachillerato Semestral ,3,NO,4,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,6,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,3,NO,1,3,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,3,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,2,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,3,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,3,9,Coatzacoalcos
Secundaria Anual,5,NO,5,8,Coatzacoalcos
Secundaria Anual,4,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,10,Coatzacoalcos
Secundaria Anual,5,NO,5,7,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,4,NO,4,8,Coatzacoalcos
Secundaria Anual,4,NO,2,8,Boca del Río
Secundaria Anual,4,NO,5,9,Boca del Río
Secundaria Anual,5,NO,4,9,Boca del Río
Secundaria Anual,3,NO,3,8,Boca del Río
Secundaria Anual,5,NO,5,8,Boca del Río
Secundaria Anual,3,NO,5,8,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,8,Boca del Río
Secundaria Anual,4,NO,4,8,Boca del Río
Secundaria Anual,4,NO,4,8,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,4,SI,4,9,Boca del Río
Secundaria Anual,5,NO,4,8,Boca del Río
Secundaria Anual,5,NO,4,9,Boca del Río
Secundaria Anual,4,NO,3,6,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,5,NO,2,7,Boca del Río
Bachillerato Semestral ,4,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,4,NO,5,8,Coatzacoalcos
Secundaria Anual,5,NO,4,8,Coatzacoalcos
Secundaria Anual,5,NO,5,8,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,4,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,8,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,4,8,Coatzacoalcos
Secundaria Anual,4,SI,4,7,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,1,SI,1,4,Coatzacoalcos
Secundaria Anual,1,SI,1,1,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,1,NO,2,1,Coatzacoalcos
Secundaria Anual,5,NO,1,3,Coatzacoalcos
Secundaria Anual,1,NO,1,2,Coatzacoalcos
Secundaria Anual,2,NO,2,2,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,2,SI,1,1,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,5,9,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,5,NO,3,1,Coatzacoalcos
Secundaria Anual,1,NO,1,2,Coatzacoalcos
Secundaria Anual,4,NO,1,3,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Secundaria Anual,1,SI,1,1,Coatzacoalcos
Secundaria Anual,2,NO,1,4,Coatzacoalcos
Secundaria Anual,1,SI,1,1,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Coatzacoalcos
Secundaria Anual,3,NO,4,7,Coatzacoalcos
Secundaria Anual,5,NO,2,2,Coatzacoalcos
Secundaria Anual,4,NO,2,6,Coatzacoalcos
Secundaria Anual,5,NO,1,5,Coatzacoalcos
Secundaria Anual,5,NO,5,7,Coatzacoalcos
Secundaria Anual,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,2,NO,1,2,Coatzacoalcos
Bachillerato Semestral ,4,NO,4,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,2,SI,1,4,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,3,5,Coatzacoalcos
Bachillerato Semestral ,5,NO,2,6,Coatzacoalcos
Bachillerato Semestral ,5,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,2,SI,4,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,3,SI,3,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,1,1,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,3,NO,3,8,Coatzacoalcos
Bachillerato Semestral ,4,NO,3,9,Coatzacoalcos
Bachillerato Semestral ,3,NO,4,7,Coatzacoalcos
Bachillerato Semestral ,3,NO,2,6,Coatzacoalcos
Bachillerato Semestral ,3,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,4,NO,3,8,Coatzacoalcos
Bachillerato Semestral ,2,NO,2,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,8,Coatzacoalcos
Bachillerato Semestral ,3,NO,2,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,4,NO,2,8,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,2,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,4,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,10,Coatzacoalcos
Bachillerato Semestral ,5,NO,3,7,Coatzacoalcos
Bachillerato Semestral ,5,NO,5,9,Coatzacoalcos
Bachillerato Semestral ,4,SI,3,8,Coatzacoalcos
Secundaria Anual,5,NO,4,9,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,5,7,Boca del Río
Secundaria Anual,4,NO,4,8,Boca del Río
Secundaria Anual,4,NO,4,7,Boca del Río
Secundaria Anual,5,NO,4,9,Boca del Río
Secundaria Anual,3,NO,3,7,Boca del Río
Secundaria Anual,5,NO,5,9,Boca del Río
Secundaria Anual,4,NO,3,7,Boca del Río
Secundaria Anual,5,NO,5,10,Boca del Río
Secundaria Anual,5,NO,3,5,Boca del Río
